Artistic Intention :: Definition,Context :: Information about the overall type of space in which the installation is built. Induced from the various contexts surrounding the corpus’ installations.,Outdoor Public Space :: Definition
,,Indoor Public Space :: Definition
,,Exhibition :: Definition
,,School :: Definition
,,Prototype :: Definition
,,Care Center :: Definition
,,Transportation :: Definition
